run_id,mode,final_value,n_ops,store_ops,retries,time_ms
f58f8dd3,durable-local,2,4,0,0,1
a6a29e47,durable-local,2,4,0,0,1
a9d972a4,durable-local,2,4,0,0,1
b1eb6cc8,durable-local,2,4,0,0,1
82d66678,durable-local,2,4,0,0,1
4f90607f,durable-local,2,4,0,0,1
97672bee,durable-local,2,4,0,0,1
0fb43147,durable-local,2,4,0,0,1
09fcc5d1,durable-local,2,4,0,0,1
48ad4644,durable-local,2,4,0,0,1
b1857673,baseline-local,2,4,5,0,1
26a67a20,baseline-local,2,4,5,0,1
65468334,baseline-local,2,4,5,0,1
a9738c20,baseline-local,2,4,5,0,1
7352d8c7,baseline-local,2,4,5,0,1
cd6d89fc,baseline-local,2,4,5,0,1
20061c7b,baseline-local,2,4,5,0,1
edb16c62,baseline-local,2,4,5,0,1
61c8aa46,baseline-local,2,4,5,0,1
ebfee120,baseline-local,2,4,5,0,1
