execution,latency_ms,replay_ms,cost_usd
lambda-db-01,150.0,0,0.000187
lambda-db-02,152.0,0,0.000191
lambda-db-03,131.0,0,0.000202
lambda-db-04,150.0,0,0.000201
lambda-db-05,151.0,0,0.000152
lambda-db-06,131.0,0,0.000161
lambda-db-07,182.0,0,0.00019
lambda-db-08,154.0,0,0.00019
lambda-db-09,121.0,0,0.00019
lambda-db-10,158.0,0,0.000257
lambda-db-11,126.0,0,0.000191
lambda-db-12,161.0,0,0.000203
lambda-db-13,168.0,0,0.000199
lambda-db-14,129.0,0,0.000193
lambda-db-15,164.0,0,0.000174
lambda-db-16,153.0,0,0.000195
lambda-db-17,161.0,0,0.000165
lambda-db-18,183.0,0,0.000175
lambda-db-19,140.0,0,0.00017
lambda-db-20,130.0,0,0.000182
lambda-db-21,127.0,0,0.000226
lambda-db-22,129.0,0,0.000143
lambda-db-23,143.0,0,0.000194
lambda-db-24,152.0,0,0.000148
lambda-db-25,151.0,0,0.000171
lambda-db-26,162.0,0,0.000202
lambda-db-27,145.0,0,0.000181
lambda-db-28,174.0,0,0.000158
lambda-db-29,140.0,0,0.000166
lambda-db-30,199.0,0,0.000194
lambda-db-31,158.0,0,0.000165
lambda-db-32,128.0,0,0.000184
lambda-db-33,124.0,0,0.000181
lambda-db-34,155.0,0,0.000167
lambda-db-35,141.0,0,0.000223
lambda-db-36,159.0,0,0.000193
lambda-db-37,154.0,0,0.000139
lambda-db-38,144.0,0,0.000184
lambda-db-39,128.0,0,0.000167
lambda-db-40,115.0,0,0.000197
lambda-db-41,136.0,0,0.000164
lambda-db-42,162.0,0,0.000178
lambda-db-43,149.0,0,0.00019
lambda-db-44,120.0,0,0.000197
lambda-db-45,148.0,0,0.000156
lambda-db-46,153.0,0,0.000173
lambda-db-47,127.0,0,0.000171
lambda-db-48,148.0,0,0.000167
lambda-db-49,146.0,0,0.000215
lambda-db-50,122.0,0,0.000188
