timestamp,message
1776816954359,"{""time"":""2026-04-22T00:15:54.359Z"",""type"":""platform.initStart"",""record"":{""initializationType"":""on-demand"",""phase"":""init"",""runtimeVersion"":""python:3.14.DurableFunction.v13"",""runtimeVersionArn"":""arn:aws:lambda:us-east-2::runtime:6a18f8e2e69c0be566b1a6e42d8d759c7f0f0b21acdc9f45bb7c2c527a8ea13a"",""functionName"":""fase1-counter-durable"",""functionVersion"":""$LATEST""}}"
1776816955044,"{""timestamp"": ""2026-04-22T00:15:55Z"", ""level"": ""INFO"", ""message"": ""Found credentials in environment variables."", ""logger"": ""botocore.credentials"", ""requestId"": """"}
"
1776816955145,"{""time"":""2026-04-22T00:15:55.145Z"",""type"":""platform.start"",""record"":{""requestId"":""6ffc6f9f-6b12-47a9-abf0-a176875c31dd"",""functionArn"":""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST"",""version"":""$LATEST""}}"
1776816955403,"{""timestamp"": ""2026-04-22T00:15:55Z"", ""level"": ""INFO"", ""message"": ""Received event={'test_case': 'counter_decrement_001', 'description': '1.1 Basic decrement operation - verifies state is persisted and updated correctly', 'state': {'value': 10, 'version': 0}, 'operation': 'decrement', 'amount': 1, 'fail_mode': 'none'}"", ""logger"": ""root"", ""requestId"": ""6ffc6f9f-6b12-47a9-abf0-a176875c31dd"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/58e350bd-88dd-4c8b-a58e-d9b325d980c9/4acd4b89-81a0-3f2a-b6b6-81aa444f178b""}
"
1776816955403,"{""timestamp"": ""2026-04-22T00:15:55Z"", ""level"": ""INFO"", ""message"": ""METRIC {\""metric_type\"": \""invocation_attempt\"", \""test_case\"": \""counter_decrement_001\"", \""invocation_count\"": 1, \""seconds_since_module_load\"": 0.261, \""is_likely_replay\"": false}"", ""logger"": ""root"", ""requestId"": ""6ffc6f9f-6b12-47a9-abf0-a176875c31dd"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/58e350bd-88dd-4c8b-a58e-d9b325d980c9/4acd4b89-81a0-3f2a-b6b6-81aa444f178b""}
"
1776816955404,"{""timestamp"": ""2026-04-22T00:15:55Z"", ""level"": ""INFO"", ""message"": ""Initializing counter state"", ""logger"": ""root"", ""requestId"": ""6ffc6f9f-6b12-47a9-abf0-a176875c31dd"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/58e350bd-88dd-4c8b-a58e-d9b325d980c9/4acd4b89-81a0-3f2a-b6b6-81aa444f178b"", ""operationName"": ""initialize_counter"", ""attempt"": 1, ""operationId"": ""1ced8f5be2db23a6513eba4d819c73806424748a7bc6fa0d792cc1c7d1775a97""}
"
1776816955404,"{""timestamp"": ""2026-04-22T00:15:55Z"", ""level"": ""INFO"", ""message"": ""METRIC {\""metric_type\"": \""step_invocation\"", \""test_case\"": \""counter_decrement_001\"", \""step\"": \""initialize_counter\"", \""wall_time\"": 1776816955.4042394}"", ""logger"": ""root"", ""requestId"": ""6ffc6f9f-6b12-47a9-abf0-a176875c31dd"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/58e350bd-88dd-4c8b-a58e-d9b325d980c9/4acd4b89-81a0-3f2a-b6b6-81aa444f178b"", ""operationName"": ""initialize_counter"", ""attempt"": 1, ""operationId"": ""1ced8f5be2db23a6513eba4d819c73806424748a7bc6fa0d792cc1c7d1775a97""}
"
1776816955423,"{""timestamp"": ""2026-04-22T00:15:55Z"", ""level"": ""INFO"", ""message"": ""METRIC {\""metric_type\"": \""step_duration\"", \""test_case\"": \""counter_decrement_001\"", \""step\"": \""initialize_counter\"", \""duration_ms\"": 19.031, \""status\"": \""success\""}"", ""logger"": ""root"", ""requestId"": ""6ffc6f9f-6b12-47a9-abf0-a176875c31dd"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/58e350bd-88dd-4c8b-a58e-d9b325d980c9/4acd4b89-81a0-3f2a-b6b6-81aa444f178b"", ""operationName"": ""initialize_counter"", ""attempt"": 1, ""operationId"": ""1ced8f5be2db23a6513eba4d819c73806424748a7bc6fa0d792cc1c7d1775a97""}
"
1776816955834,"{""timestamp"": ""2026-04-22T00:15:55Z"", ""level"": ""INFO"", ""message"": ""Applying operation=decrement, amount=1, fail_mode=none, current_state={'value': 10, 'version': 0}, failure_key=None"", ""logger"": ""root"", ""requestId"": ""6ffc6f9f-6b12-47a9-abf0-a176875c31dd"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/58e350bd-88dd-4c8b-a58e-d9b325d980c9/4acd4b89-81a0-3f2a-b6b6-81aa444f178b"", ""operationName"": ""apply_counter_operation"", ""attempt"": 1, ""operationId"": ""c5faca15ac2f93578b39ef4b6bbb871bdedce4ddd584fd31f0bb66fade3947e6""}
"
1776816955843,"{""timestamp"": ""2026-04-22T00:15:55Z"", ""level"": ""INFO"", ""message"": ""METRIC {\""metric_type\"": \""step_invocation\"", \""test_case\"": \""counter_decrement_001\"", \""step\"": \""apply_counter_operation\"", \""operation\"": \""decrement\"", \""fail_mode\"": \""none\"", \""wall_time\"": 1776816955.8348222}"", ""logger"": ""root"", ""requestId"": ""6ffc6f9f-6b12-47a9-abf0-a176875c31dd"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/58e350bd-88dd-4c8b-a58e-d9b325d980c9/4acd4b89-81a0-3f2a-b6b6-81aa444f178b"", ""operationName"": ""apply_counter_operation"", ""attempt"": 1, ""operationId"": ""c5faca15ac2f93578b39ef4b6bbb871bdedce4ddd584fd31f0bb66fade3947e6""}
"
