timestamp,message
1776820240901,"{""time"":""2026-04-22T01:10:40.901Z"",""type"":""platform.initStart"",""record"":{""initializationType"":""on-demand"",""phase"":""init"",""runtimeVersion"":""python:3.14.DurableFunction.v13"",""runtimeVersionArn"":""arn:aws:lambda:us-east-2::runtime:6a18f8e2e69c0be566b1a6e42d8d759c7f0f0b21acdc9f45bb7c2c527a8ea13a"",""functionName"":""fase1-counter-durable"",""functionVersion"":""$LATEST""}}"
1776820241520,"{""timestamp"": ""2026-04-22T01:10:41Z"", ""level"": ""INFO"", ""message"": ""Found credentials in environment variables."", ""logger"": ""botocore.credentials"", ""requestId"": """"}
"
1776820241619,"{""time"":""2026-04-22T01:10:41.619Z"",""type"":""platform.start"",""record"":{""requestId"":""5e938d9b-63c6-45c7-b4b3-8a187611f513"",""functionArn"":""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST"",""version"":""$LATEST""}}"
1776820241854,"{""timestamp"": ""2026-04-22T01:10:41Z"", ""level"": ""INFO"", ""message"": ""Received event={'test_case': 'counter_fail_once_001', 'description': '1.2 Transient failure recovery - first invocation fails, durable runtime retries automatically and succeeds', 'state': {'value': 0, 'version': 0}, 'operation': 'increment', 'amount': 1, 'fail_mode': 'once', 'failure_key': 'phase1-fail-once-counter-DEFENSA-2026-04-22'}"", ""logger"": ""root"", ""requestId"": ""5e938d9b-63c6-45c7-b4b3-8a187611f513"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/e53f56b4-6711-4f98-a836-53443b5283e1/393309dd-37de-337a-b8e1-66211d2f3289""}
"
1776820241855,"{""timestamp"": ""2026-04-22T01:10:41Z"", ""level"": ""INFO"", ""message"": ""METRIC {\""metric_type\"": \""invocation_attempt\"", \""test_case\"": \""counter_fail_once_001\"", \""invocation_count\"": 1, \""seconds_since_module_load\"": 0.238, \""is_likely_replay\"": false}"", ""logger"": ""root"", ""requestId"": ""5e938d9b-63c6-45c7-b4b3-8a187611f513"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/e53f56b4-6711-4f98-a836-53443b5283e1/393309dd-37de-337a-b8e1-66211d2f3289""}
"
1776820241855,"{""timestamp"": ""2026-04-22T01:10:41Z"", ""level"": ""INFO"", ""message"": ""Initializing counter state"", ""logger"": ""root"", ""requestId"": ""5e938d9b-63c6-45c7-b4b3-8a187611f513"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/e53f56b4-6711-4f98-a836-53443b5283e1/393309dd-37de-337a-b8e1-66211d2f3289"", ""operationName"": ""initialize_counter"", ""attempt"": 1, ""operationId"": ""1ced8f5be2db23a6513eba4d819c73806424748a7bc6fa0d792cc1c7d1775a97""}
"
1776820241874,"{""timestamp"": ""2026-04-22T01:10:41Z"", ""level"": ""INFO"", ""message"": ""METRIC {\""metric_type\"": \""step_invocation\"", \""test_case\"": \""counter_fail_once_001\"", \""step\"": \""initialize_counter\"", \""wall_time\"": 1776820241.8743446}"", ""logger"": ""root"", ""requestId"": ""5e938d9b-63c6-45c7-b4b3-8a187611f513"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/e53f56b4-6711-4f98-a836-53443b5283e1/393309dd-37de-337a-b8e1-66211d2f3289"", ""operationName"": ""initialize_counter"", ""attempt"": 1, ""operationId"": ""1ced8f5be2db23a6513eba4d819c73806424748a7bc6fa0d792cc1c7d1775a97""}
"
1776820241874,"{""timestamp"": ""2026-04-22T01:10:41Z"", ""level"": ""INFO"", ""message"": ""METRIC {\""metric_type\"": \""step_duration\"", \""test_case\"": \""counter_fail_once_001\"", \""step\"": \""initialize_counter\"", \""duration_ms\"": 19.231, \""status\"": \""success\""}"", ""logger"": ""root"", ""requestId"": ""5e938d9b-63c6-45c7-b4b3-8a187611f513"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/e53f56b4-6711-4f98-a836-53443b5283e1/393309dd-37de-337a-b8e1-66211d2f3289"", ""operationName"": ""initialize_counter"", ""attempt"": 1, ""operationId"": ""1ced8f5be2db23a6513eba4d819c73806424748a7bc6fa0d792cc1c7d1775a97""}
"
1776820242287,"{""timestamp"": ""2026-04-22T01:10:42Z"", ""level"": ""INFO"", ""message"": ""Applying operation=increment, amount=1, fail_mode=once, current_state={'value': 0, 'version': 0}, failure_key=phase1-fail-once-counter-DEFENSA-2026-04-22"", ""logger"": ""root"", ""requestId"": ""5e938d9b-63c6-45c7-b4b3-8a187611f513"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/e53f56b4-6711-4f98-a836-53443b5283e1/393309dd-37de-337a-b8e1-66211d2f3289"", ""operationName"": ""apply_counter_operation"", ""attempt"": 1, ""operationId"": ""c5faca15ac2f93578b39ef4b6bbb871bdedce4ddd584fd31f0bb66fade3947e6""}
"
1776820242287,"{""timestamp"": ""2026-04-22T01:10:42Z"", ""level"": ""INFO"", ""message"": ""METRIC {\""metric_type\"": \""step_invocation\"", \""test_case\"": \""counter_fail_once_001\"", \""step\"": \""apply_counter_operation\"", \""operation\"": \""increment\"", \""fail_mode\"": \""once\"", \""wall_time\"": 1776820242.2870958}"", ""logger"": ""root"", ""requestId"": ""5e938d9b-63c6-45c7-b4b3-8a187611f513"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/e53f56b4-6711-4f98-a836-53443b5283e1/393309dd-37de-337a-b8e1-66211d2f3289"", ""operationName"": ""apply_counter_operation"", ""attempt"": 1, ""operationId"": ""c5faca15ac2f93578b39ef4b6bbb871bdedce4ddd584fd31f0bb66fade3947e6""}
"
