timestamp,message
1776820707014,"{""time"":""2026-04-22T01:18:27.014Z"",""type"":""platform.initStart"",""record"":{""initializationType"":""on-demand"",""phase"":""init"",""runtimeVersion"":""python:3.14.DurableFunction.v13"",""runtimeVersionArn"":""arn:aws:lambda:us-east-2::runtime:6a18f8e2e69c0be566b1a6e42d8d759c7f0f0b21acdc9f45bb7c2c527a8ea13a"",""functionName"":""fase1-counter-durable"",""functionVersion"":""$LATEST""}}"
1776820708314,"{""timestamp"": ""2026-04-22T01:18:28Z"", ""level"": ""INFO"", ""message"": ""Found credentials in environment variables."", ""logger"": ""botocore.credentials"", ""requestId"": """"}
"
1776820708423,"{""time"":""2026-04-22T01:18:28.423Z"",""type"":""platform.start"",""record"":{""requestId"":""b05f188b-8b58-487a-92df-cc2863eb3de7"",""functionArn"":""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST"",""version"":""$LATEST""}}"
1776820708655,"{""timestamp"": ""2026-04-22T01:18:28Z"", ""level"": ""INFO"", ""message"": ""Received event={'test_case': 'counter_fail_always_001', 'description': '1.2 Permanent failure - operation always fails, durable runtime propagates error after exhausting retries', 'state': {'value': 0, 'version': 0}, 'operation': 'increment', 'amount': 1, 'fail_mode': 'always'}"", ""logger"": ""root"", ""requestId"": ""b05f188b-8b58-487a-92df-cc2863eb3de7"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/9bac3b29-7510-4ef4-8d81-56c5f56070c4/395d81a5-d277-3273-8b8e-b9bb23c24dfa""}
"
1776820708656,"{""timestamp"": ""2026-04-22T01:18:28Z"", ""level"": ""INFO"", ""message"": ""METRIC {\""metric_type\"": \""invocation_attempt\"", \""test_case\"": \""counter_fail_always_001\"", \""invocation_count\"": 1, \""seconds_since_module_load\"": 0.236, \""is_likely_replay\"": false}"", ""logger"": ""root"", ""requestId"": ""b05f188b-8b58-487a-92df-cc2863eb3de7"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/9bac3b29-7510-4ef4-8d81-56c5f56070c4/395d81a5-d277-3273-8b8e-b9bb23c24dfa""}
"
1776820708656,"{""timestamp"": ""2026-04-22T01:18:28Z"", ""level"": ""INFO"", ""message"": ""Initializing counter state"", ""logger"": ""root"", ""requestId"": ""b05f188b-8b58-487a-92df-cc2863eb3de7"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/9bac3b29-7510-4ef4-8d81-56c5f56070c4/395d81a5-d277-3273-8b8e-b9bb23c24dfa"", ""operationName"": ""initialize_counter"", ""attempt"": 1, ""operationId"": ""1ced8f5be2db23a6513eba4d819c73806424748a7bc6fa0d792cc1c7d1775a97""}
"
1776820708675,"{""timestamp"": ""2026-04-22T01:18:28Z"", ""level"": ""INFO"", ""message"": ""METRIC {\""metric_type\"": \""step_invocation\"", \""test_case\"": \""counter_fail_always_001\"", \""step\"": \""initialize_counter\"", \""wall_time\"": 1776820708.6752722}"", ""logger"": ""root"", ""requestId"": ""b05f188b-8b58-487a-92df-cc2863eb3de7"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/9bac3b29-7510-4ef4-8d81-56c5f56070c4/395d81a5-d277-3273-8b8e-b9bb23c24dfa"", ""operationName"": ""initialize_counter"", ""attempt"": 1, ""operationId"": ""1ced8f5be2db23a6513eba4d819c73806424748a7bc6fa0d792cc1c7d1775a97""}
"
1776820708675,"{""timestamp"": ""2026-04-22T01:18:28Z"", ""level"": ""INFO"", ""message"": ""METRIC {\""metric_type\"": \""step_duration\"", \""test_case\"": \""counter_fail_always_001\"", \""step\"": \""initialize_counter\"", \""duration_ms\"": 19.212, \""status\"": \""success\""}"", ""logger"": ""root"", ""requestId"": ""b05f188b-8b58-487a-92df-cc2863eb3de7"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/9bac3b29-7510-4ef4-8d81-56c5f56070c4/395d81a5-d277-3273-8b8e-b9bb23c24dfa"", ""operationName"": ""initialize_counter"", ""attempt"": 1, ""operationId"": ""1ced8f5be2db23a6513eba4d819c73806424748a7bc6fa0d792cc1c7d1775a97""}
"
1776820709090,"{""timestamp"": ""2026-04-22T01:18:29Z"", ""level"": ""INFO"", ""message"": ""Applying operation=increment, amount=1, fail_mode=always, current_state={'value': 0, 'version': 0}, failure_key=None"", ""logger"": ""root"", ""requestId"": ""b05f188b-8b58-487a-92df-cc2863eb3de7"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/9bac3b29-7510-4ef4-8d81-56c5f56070c4/395d81a5-d277-3273-8b8e-b9bb23c24dfa"", ""operationName"": ""apply_counter_operation"", ""attempt"": 1, ""operationId"": ""c5faca15ac2f93578b39ef4b6bbb871bdedce4ddd584fd31f0bb66fade3947e6""}
"
1776820709095,"{""timestamp"": ""2026-04-22T01:18:29Z"", ""level"": ""INFO"", ""message"": ""METRIC {\""metric_type\"": \""step_invocation\"", \""test_case\"": \""counter_fail_always_001\"", \""step\"": \""apply_counter_operation\"", \""operation\"": \""increment\"", \""fail_mode\"": \""always\"", \""wall_time\"": 1776820709.0902755}"", ""logger"": ""root"", ""requestId"": ""b05f188b-8b58-487a-92df-cc2863eb3de7"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/9bac3b29-7510-4ef4-8d81-56c5f56070c4/395d81a5-d277-3273-8b8e-b9bb23c24dfa"", ""operationName"": ""apply_counter_operation"", ""attempt"": 1, ""operationId"": ""c5faca15ac2f93578b39ef4b6bbb871bdedce4ddd584fd31f0bb66fade3947e6""}
"
