timestamp,message
1776629420178,"{""time"":""2026-04-19T20:10:20.178Z"",""type"":""platform.initStart"",""record"":{""initializationType"":""on-demand"",""phase"":""init"",""runtimeVersion"":""python:3.14.DurableFunction.v12"",""runtimeVersionArn"":""arn:aws:lambda:us-east-2::runtime:4701d8d3b7c4bfef1b350764e0c3004591dee86d631c9993ab2217127e368c50"",""functionName"":""fase1-counter-durable"",""functionVersion"":""$LATEST"",""instanceId"":""2026/04/19/[$LATEST]07402cf0876f405ea0af39c721d5b1c6"",""instanceMaxMemory"":134217728}}"
1776629420817,"{""timestamp"": ""2026-04-19T20:10:20Z"", ""level"": ""INFO"", ""message"": ""Found credentials in environment variables."", ""logger"": ""botocore.credentials"", ""requestId"": """"}
"
1776629420923,"{""time"":""2026-04-19T20:10:20.923Z"",""type"":""platform.start"",""record"":{""requestId"":""dfc6e60a-cc2c-48fd-b2d7-53f12a5714dc"",""functionArn"":""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST"",""version"":""$LATEST""}}"
1776629421155,"{""timestamp"": ""2026-04-19T20:10:21Z"", ""level"": ""INFO"", ""message"": ""Received event={'test_case': 'counter_fail_once_001', 'description': '1.2 Transient failure recovery - first invocation fails, durable runtime retries automatically and succeeds', 'state': {'value': 0, 'version': 0}, 'operation': 'increment', 'amount': 1, 'fail_mode': 'once', 'failure_key': 'phase1-fail-once-counter-001'}"", ""logger"": ""root"", ""requestId"": ""dfc6e60a-cc2c-48fd-b2d7-53f12a5714dc"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/004a1ba1-a7bd-44b0-aaf7-678d3dc4a812/b67e8d82-4a30-3a01-b6f8-8e1fd859c07f""}
"
1776629421155,"{""timestamp"": ""2026-04-19T20:10:21Z"", ""level"": ""INFO"", ""message"": ""Initializing counter state"", ""logger"": ""root"", ""requestId"": ""dfc6e60a-cc2c-48fd-b2d7-53f12a5714dc"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/004a1ba1-a7bd-44b0-aaf7-678d3dc4a812/b67e8d82-4a30-3a01-b6f8-8e1fd859c07f"", ""operationName"": ""initialize_counter"", ""attempt"": 1, ""operationId"": ""1ced8f5be2db23a6513eba4d819c73806424748a7bc6fa0d792cc1c7d1775a97""}
"
1776629421156,"{""timestamp"": ""2026-04-19T20:10:21Z"", ""level"": ""INFO"", ""message"": ""METRIC {\""metric_type\"": \""step_duration\"", \""test_case\"": \""counter_fail_once_001\"", \""step\"": \""initialize_counter\"", \""duration_ms\"": 0.35, \""status\"": \""success\""}"", ""logger"": ""root"", ""requestId"": ""dfc6e60a-cc2c-48fd-b2d7-53f12a5714dc"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/004a1ba1-a7bd-44b0-aaf7-678d3dc4a812/b67e8d82-4a30-3a01-b6f8-8e1fd859c07f"", ""operationName"": ""initialize_counter"", ""attempt"": 1, ""operationId"": ""1ced8f5be2db23a6513eba4d819c73806424748a7bc6fa0d792cc1c7d1775a97""}
"
1776629421582,"{""timestamp"": ""2026-04-19T20:10:21Z"", ""level"": ""INFO"", ""message"": ""Applying operation=increment, amount=1, fail_mode=once, current_state={'value': 0, 'version': 0}, failure_key=phase1-fail-once-counter-001"", ""logger"": ""root"", ""requestId"": ""dfc6e60a-cc2c-48fd-b2d7-53f12a5714dc"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/004a1ba1-a7bd-44b0-aaf7-678d3dc4a812/b67e8d82-4a30-3a01-b6f8-8e1fd859c07f"", ""operationName"": ""apply_counter_operation"", ""attempt"": 1, ""operationId"": ""c5faca15ac2f93578b39ef4b6bbb871bdedce4ddd584fd31f0bb66fade3947e6""}
"
1776629421836,"{""timestamp"": ""2026-04-19T20:10:21Z"", ""level"": ""ERROR"", ""message"": ""Simulated transient failure on first attempt"", ""logger"": ""root"", ""requestId"": ""dfc6e60a-cc2c-48fd-b2d7-53f12a5714dc"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/004a1ba1-a7bd-44b0-aaf7-678d3dc4a812/b67e8d82-4a30-3a01-b6f8-8e1fd859c07f"", ""operationName"": ""apply_counter_operation"", ""attempt"": 1, ""operationId"": ""c5faca15ac2f93578b39ef4b6bbb871bdedce4ddd584fd31f0bb66fade3947e6""}
"
1776629421836,"{""timestamp"": ""2026-04-19T20:10:21Z"", ""level"": ""INFO"", ""message"": ""METRIC {\""metric_type\"": \""step_duration\"", \""test_case\"": \""counter_fail_once_001\"", \""step\"": \""apply_counter_operation\"", \""operation\"": \""increment\"", \""fail_mode\"": \""once\"", \""duration_ms\"": 253.491, \""status\"": \""error\""}"", ""logger"": ""root"", ""requestId"": ""dfc6e60a-cc2c-48fd-b2d7-53f12a5714dc"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/004a1ba1-a7bd-44b0-aaf7-678d3dc4a812/b67e8d82-4a30-3a01-b6f8-8e1fd859c07f"", ""operationName"": ""apply_counter_operation"", ""attempt"": 1, ""operationId"": ""c5faca15ac2f93578b39ef4b6bbb871bdedce4ddd584fd31f0bb66fade3947e6""}
"
1776629421876,"{""timestamp"": ""2026-04-19T20:10:21Z"", ""level"": ""ERROR"", ""message"": ""❌ failed step for id: c5faca15ac2f93578b39ef4b6bbb871bdedce4ddd584fd31f0bb66fade3947e6, name: apply_counter_operation"", ""logger"": ""aws_durable_execution_sdk_python.operation.step"", ""stackTrace"": [""  File \""/var/lang/lib/python3.14/site-packages/aws_durable_execution_sdk_python/operation/step.py\"", line 139, in step_handler
    raw_result: T = func(step_context)
                    ~~~~^^^^^^^^^^^^^^
"", ""  File \""/var/lang/lib/python3.14/site-packages/aws_durable_execution_sdk_python/context.py\"", line 84, in function_with_arguments
    return func(context, *args, **kwargs)
"", ""  File \""/var/task/lambda_function.py\"", line 138, in apply_counter_operation
    raise RuntimeError(\""Simulated transient failure on first attempt\"")
""], ""errorType"": ""RuntimeError"", ""errorMessage"": ""Simulated transient failure on first attempt"", ""requestId"": ""dfc6e60a-cc2c-48fd-b2d7-53f12a5714dc"", ""location"": ""/var/lang/lib/python3.14/site-packages/aws_durable_execution_sdk_python/operation/step.py:step_handler:174""}
"
