timestamp,message
1776630554205,"{""time"":""2026-04-19T20:29:14.205Z"",""type"":""platform.initStart"",""record"":{""initializationType"":""on-demand"",""phase"":""init"",""runtimeVersion"":""python:3.14.DurableFunction.v12"",""runtimeVersionArn"":""arn:aws:lambda:us-east-2::runtime:4701d8d3b7c4bfef1b350764e0c3004591dee86d631c9993ab2217127e368c50"",""functionName"":""fase1-counter-durable"",""functionVersion"":""$LATEST"",""instanceId"":""2026/04/19/[$LATEST]3929010fcd354062bf28a39dfb9703b0"",""instanceMaxMemory"":134217728}}"
1776630554890,"{""timestamp"": ""2026-04-19T20:29:14Z"", ""level"": ""INFO"", ""message"": ""Found credentials in environment variables."", ""logger"": ""botocore.credentials"", ""requestId"": """"}
"
1776630554998,"{""time"":""2026-04-19T20:29:14.998Z"",""type"":""platform.start"",""record"":{""requestId"":""7e32e95a-1d67-437a-b7ef-c7b9353329d5"",""functionArn"":""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST"",""version"":""$LATEST""}}"
1776630555233,"{""timestamp"": ""2026-04-19T20:29:15Z"", ""level"": ""INFO"", ""message"": ""Received event={'test_case': 'counter_idempotency_001', 'description': '1.3 Idempotency test - re-invoke with the same execution name after a successful run; durable runtime must return cached result without re-executing steps', 'state': {'value': 0, 'version': 0}, 'operation': 'increment', 'amount': 1, 'fail_mode': 'none'}"", ""logger"": ""root"", ""requestId"": ""7e32e95a-1d67-437a-b7ef-c7b9353329d5"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/5c26313d-9c99-4a22-903c-5359b33256c0/6daddb18-b7fd-3b7a-a2a4-40f3b3880ba4""}
"
1776630555234,"{""timestamp"": ""2026-04-19T20:29:15Z"", ""level"": ""INFO"", ""message"": ""Initializing counter state"", ""logger"": ""root"", ""requestId"": ""7e32e95a-1d67-437a-b7ef-c7b9353329d5"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/5c26313d-9c99-4a22-903c-5359b33256c0/6daddb18-b7fd-3b7a-a2a4-40f3b3880ba4"", ""operationName"": ""initialize_counter"", ""attempt"": 1, ""operationId"": ""1ced8f5be2db23a6513eba4d819c73806424748a7bc6fa0d792cc1c7d1775a97""}
"
1776630555234,"{""timestamp"": ""2026-04-19T20:29:15Z"", ""level"": ""INFO"", ""message"": ""METRIC {\""metric_type\"": \""step_duration\"", \""test_case\"": \""counter_idempotency_001\"", \""step\"": \""initialize_counter\"", \""duration_ms\"": 0.131, \""status\"": \""success\""}"", ""logger"": ""root"", ""requestId"": ""7e32e95a-1d67-437a-b7ef-c7b9353329d5"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/5c26313d-9c99-4a22-903c-5359b33256c0/6daddb18-b7fd-3b7a-a2a4-40f3b3880ba4"", ""operationName"": ""initialize_counter"", ""attempt"": 1, ""operationId"": ""1ced8f5be2db23a6513eba4d819c73806424748a7bc6fa0d792cc1c7d1775a97""}
"
1776630555659,"{""timestamp"": ""2026-04-19T20:29:15Z"", ""level"": ""INFO"", ""message"": ""Applying operation=increment, amount=1, fail_mode=none, current_state={'value': 0, 'version': 0}, failure_key=None"", ""logger"": ""root"", ""requestId"": ""7e32e95a-1d67-437a-b7ef-c7b9353329d5"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/5c26313d-9c99-4a22-903c-5359b33256c0/6daddb18-b7fd-3b7a-a2a4-40f3b3880ba4"", ""operationName"": ""apply_counter_operation"", ""attempt"": 1, ""operationId"": ""c5faca15ac2f93578b39ef4b6bbb871bdedce4ddd584fd31f0bb66fade3947e6""}
"
1776630555673,"{""timestamp"": ""2026-04-19T20:29:15Z"", ""level"": ""INFO"", ""message"": ""Updated state={'value': 1, 'version': 1}"", ""logger"": ""root"", ""requestId"": ""7e32e95a-1d67-437a-b7ef-c7b9353329d5"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/5c26313d-9c99-4a22-903c-5359b33256c0/6daddb18-b7fd-3b7a-a2a4-40f3b3880ba4"", ""operationName"": ""apply_counter_operation"", ""attempt"": 1, ""operationId"": ""c5faca15ac2f93578b39ef4b6bbb871bdedce4ddd584fd31f0bb66fade3947e6""}
"
1776630555673,"{""timestamp"": ""2026-04-19T20:29:15Z"", ""level"": ""INFO"", ""message"": ""METRIC {\""metric_type\"": \""step_duration\"", \""test_case\"": \""counter_idempotency_001\"", \""step\"": \""apply_counter_operation\"", \""operation\"": \""increment\"", \""fail_mode\"": \""none\"", \""duration_ms\"": 13.912, \""status\"": \""success\""}"", ""logger"": ""root"", ""requestId"": ""7e32e95a-1d67-437a-b7ef-c7b9353329d5"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/5c26313d-9c99-4a22-903c-5359b33256c0/6daddb18-b7fd-3b7a-a2a4-40f3b3880ba4"", ""operationName"": ""apply_counter_operation"", ""attempt"": 1, ""operationId"": ""c5faca15ac2f93578b39ef4b6bbb871bdedce4ddd584fd31f0bb66fade3947e6""}
"
1776630555807,"{""timestamp"": ""2026-04-19T20:29:15Z"", ""level"": ""INFO"", ""message"": ""Returning result={'message': 'fase1-counter-durable executed successfully', 'counter_value': 1, 'version': 1}"", ""logger"": ""root"", ""requestId"": ""7e32e95a-1d67-437a-b7ef-c7b9353329d5"", ""executionArn"": ""arn:aws:lambda:us-east-2:851725525148:function:fase1-counter-durable:$LATEST/durable-execution/5c26313d-9c99-4a22-903c-5359b33256c0/6daddb18-b7fd-3b7a-a2a4-40f3b3880ba4"", ""operationName"": ""build_response"", ""attempt"": 1, ""operationId"": ""6f760b9e9eac89f07ab0223b0f4acb04d1e355d893a1b86a83f4d4b405adee99""}
"
